ID,TIPO_REQUISICAO,MOMENTO,TIMESTAMP
4002,POST,BEGIN,1512336617491621868
4002,POST,END,1512336617506599636
4003,POST,BEGIN,1512336618266260664
4003,POST,END,1512336618299666205
4004,POST,BEGIN,1512336619058469668
4004,POST,END,1512336619092358473
4005,POST,BEGIN,1512336619851614000
4005,POST,END,1512336619880923308
4006,POST,BEGIN,1512336620642635042
4006,POST,END,1512336620677216519
4007,POST,BEGIN,1512336621435700681
4007,POST,END,1512336621466501061
4008,POST,BEGIN,1512336622225003328
4008,POST,END,1512336622257762511
4009,POST,BEGIN,1512336623016271023
4009,POST,END,1512336623046267293
4010,POST,BEGIN,1512336623809736479
4010,POST,END,1512336623836133696
4011,POST,BEGIN,1512336624593015273
4011,POST,END,1512336624622503942
4012,POST,BEGIN,1512336625380623261
4012,POST,END,1512336625418707687
4013,POST,BEGIN,1512336626177332175
4013,POST,END,1512336626209243543
4014,POST,BEGIN,1512336626970497602
4014,POST,END,1512336627008622936
4015,POST,BEGIN,1512336627765898471
4015,POST,END,1512336627792896722
4016,POST,BEGIN,1512336628547202587
4016,POST,END,1512336628560527829
4017,POST,BEGIN,1512336629317150205
4017,POST,END,1512336629348438522
4018,POST,BEGIN,1512336630108094018
4018,POST,END,1512336630138801325
4019,POST,BEGIN,1512336630897444840
4019,POST,END,1512336630928093641
4020,POST,BEGIN,1512336631689270642
4020,POST,END,1512336631726377579
4021,POST,BEGIN,1512336632488225722
4021,POST,END,1512336632524471057
4022,POST,BEGIN,1512336633283509073
4022,POST,END,1512336633318135199
4023,POST,BEGIN,1512336634076782880
4023,POST,END,1512336634105878742
4024,POST,BEGIN,1512336634864051484
4024,POST,END,1512336634892668502
4025,POST,BEGIN,1512336635651008763
4025,POST,END,1512336635680486693
4026,POST,BEGIN,1512336636439569127
4026,POST,END,1512336636473537330
4027,POST,BEGIN,1512336637231666899
4027,POST,END,1512336637270524386
4028,POST,BEGIN,1512336638030241085
4028,POST,END,1512336638064044202
4029,POST,BEGIN,1512336638822867948
4029,POST,END,1512336638853373449
4030,POST,BEGIN,1512336639611096323
4030,POST,END,1512336639642309812
4031,POST,BEGIN,1512336640396541451
4031,POST,END,1512336640410042537
4032,POST,BEGIN,1512336641167547070
4032,POST,END,1512336641196474626
4033,POST,BEGIN,1512336641954444873
4033,POST,END,1512336641987339602
4034,POST,BEGIN,1512336642744373670
4034,POST,END,1512336642763821793
4035,POST,BEGIN,1512336643519200444
4035,POST,END,1512336643536041193
