ID,TIPO_REQUISICAO,MOMENTO,TIMESTAMP
8002,GET,BEGIN,1512185580765110780
8002,GET,END,1512185580788568721
8003,GET,BEGIN,1512185581544182687
8003,GET,END,1512185581570106920
8004,GET,BEGIN,1512185582325449599
8004,GET,END,1512185582339425287
8005,GET,BEGIN,1512185583093889250
8005,GET,END,1512185583113677130
8006,GET,BEGIN,1512185583868012247
8006,GET,END,1512185583882790758
8007,GET,BEGIN,1512185584636955427
8007,GET,END,1512185584650306572
8008,GET,BEGIN,1512185585404250293
8008,GET,END,1512185585418223133
8009,GET,BEGIN,1512185586175564294
8009,GET,END,1512185586194291037
8010,GET,BEGIN,1512185586948896219
8010,GET,END,1512185586961918211
8011,GET,BEGIN,1512185587716160685
8011,GET,END,1512185587733020492
8012,GET,BEGIN,1512185588487477313
8012,GET,END,1512185588503946721
8013,GET,BEGIN,1512185589258175654
8013,GET,END,1512185589272357566
8014,GET,BEGIN,1512185590026673359
8014,GET,END,1512185590039583757
8015,GET,BEGIN,1512185590794947495
8015,GET,END,1512185590813603917
8016,GET,BEGIN,1512185591567850851
8016,GET,END,1512185591604213515
8017,GET,BEGIN,1512185592359779132
8017,GET,END,1512185592374676594
8018,GET,BEGIN,1512185593129680876
8018,GET,END,1512185593155801246
8019,GET,BEGIN,1512185593910901698
8019,GET,END,1512185593925487547
8020,GET,BEGIN,1512185594679734956
8020,GET,END,1512185594692789545
8021,GET,BEGIN,1512185595446185872
8021,GET,END,1512185595460483328
8022,GET,BEGIN,1512185596217073228
8022,GET,END,1512185596234076428
8023,GET,BEGIN,1512185596987606987
8023,GET,END,1512185597013141720
8024,GET,BEGIN,1512185597771347878
8024,GET,END,1512185597795841303
8025,GET,BEGIN,1512185598553749691
8025,GET,END,1512185598577751695
8026,GET,BEGIN,1512185599332759737
8026,GET,END,1512185599346151991
8027,GET,BEGIN,1512185600100077614
8027,GET,END,1512185600113400926
8028,GET,BEGIN,1512185600867549698
8028,GET,END,1512185600881654487
8029,GET,BEGIN,1512185601636197383
8029,GET,END,1512185601649980726
8030,GET,BEGIN,1512185602404165153
8030,GET,END,1512185602417877818
8031,GET,BEGIN,1512185603172271442
8031,GET,END,1512185603191661680
8032,GET,BEGIN,1512185603945817660
8032,GET,END,1512185603959322448
8033,GET,BEGIN,1512185604714207965
8033,GET,END,1512185604728077078
8034,GET,BEGIN,1512185605482104511
8034,GET,END,1512185605495475613
8035,GET,BEGIN,1512185606250069686
8035,GET,END,1512185606266440337
8036,GET,BEGIN,1512185607020252863
8036,GET,END,1512185607033287959
8037,GET,BEGIN,1512185607791601193
8037,GET,END,1512185607815737893
8038,GET,BEGIN,1512185608571455297
8038,GET,END,1512185608584759554
8039,GET,BEGIN,1512185609340390321
8039,GET,END,1512185609355813684
8040,GET,BEGIN,1512185610109742942
8040,GET,END,1512185610122952032
8041,GET,BEGIN,1512185610876924004
8041,GET,END,1512185610892122510
8042,GET,BEGIN,1512185611647738086
8042,GET,END,1512185611663273474
8043,GET,BEGIN,1512185612417074917
8043,GET,END,1512185612431901138
8044,GET,BEGIN,1512185613186428541
8044,GET,END,1512185613199022172
8045,GET,BEGIN,1512185613952628105
8045,GET,END,1512185613966435584
8046,GET,BEGIN,1512185614720006240
8046,GET,END,1512185614746507570
8047,GET,BEGIN,1512185615501186526
8047,GET,END,1512185615517537222
8048,GET,BEGIN,1512185616274679417
8048,GET,END,1512185616294323498
8049,GET,BEGIN,1512185617048977646
8049,GET,END,1512185617063403569
8050,GET,BEGIN,1512185617816969461
8050,GET,END,1512185617830942676
8051,GET,BEGIN,1512185618586005947
8051,GET,END,1512185618598888674
8052,GET,BEGIN,1512185619352625186
8052,GET,END,1512185619365755059
8053,GET,BEGIN,1512185620119941320
8053,GET,END,1512185620138526600
8054,GET,BEGIN,1512185620892735256
8054,GET,END,1512185620906819633
8055,GET,BEGIN,1512185621664138677
8055,GET,END,1512185621683385597
8056,GET,BEGIN,1512185622437611316
8056,GET,END,1512185622452113292
8057,GET,BEGIN,1512185623206585512
8057,GET,END,1512185623222979135
8058,GET,BEGIN,1512185623977209446
8058,GET,END,1512185623990717386
8059,GET,BEGIN,1512185624746773816
8059,GET,END,1512185624772587471
8060,GET,BEGIN,1512185625527405672
8060,GET,END,1512185625553448228
8061,GET,BEGIN,1512185626308511519
8061,GET,END,1512185626323177499
8062,GET,BEGIN,1512185627078663001
8062,GET,END,1512185627104438588
8063,GET,BEGIN,1512185627859870680
8063,GET,END,1512185627877129469
8064,GET,BEGIN,1512185628631362964
8064,GET,END,1512185628644150427
8065,GET,BEGIN,1512185629398375229
8065,GET,END,1512185629413814544
8066,GET,BEGIN,1512185630167970963
8066,GET,END,1512185630181391983
8067,GET,BEGIN,1512185630935864759
8067,GET,END,1512185630949437205
8068,GET,BEGIN,1512185631703702957
8068,GET,END,1512185631716771790
8069,GET,BEGIN,1512185632471689422
8069,GET,END,1512185632486324887
8070,GET,BEGIN,1512185633243990932
8070,GET,END,1512185633269380480
8071,GET,BEGIN,1512185634024257334
8071,GET,END,1512185634037397265
