ID,TIPO_REQUISICAO,MOMENTO,TIMESTAMP
8002,GET,BEGIN,1512316852098541671
8002,GET,END,1512316852133225415
8003,GET,BEGIN,1512316852889354147
8003,GET,END,1512316852903374112
8004,GET,BEGIN,1512316853661373478
8004,GET,END,1512316853684209871
8005,GET,BEGIN,1512316854444266551
8005,GET,END,1512316854479580128
8006,GET,BEGIN,1512316855240028144
8006,GET,END,1512316855273169556
8007,GET,BEGIN,1512316856032597685
8007,GET,END,1512316856061888448
8008,GET,BEGIN,1512316856822536245
8008,GET,END,1512316856852342486
8009,GET,BEGIN,1512316857611927910
8009,GET,END,1512316857647821087
8010,GET,BEGIN,1512316858408614834
8010,GET,END,1512316858439735290
8011,GET,BEGIN,1512316859203568485
8011,GET,END,1512316859241060255
8012,GET,BEGIN,1512316860001063609
8012,GET,END,1512316860042314854
8013,GET,BEGIN,1512316860801928623
8013,GET,END,1512316860830908487
8014,GET,BEGIN,1512316861588405862
8014,GET,END,1512316861602400758
8015,GET,BEGIN,1512316862360023987
8015,GET,END,1512316862391760171
8016,GET,BEGIN,1512316863151975113
8016,GET,END,1512316863178825306
8017,GET,BEGIN,1512316863932562687
8017,GET,END,1512316863946882768
8018,GET,BEGIN,1512316864706212988
8018,GET,END,1512316864738068021
8019,GET,BEGIN,1512316865493317846
8019,GET,END,1512316865507292023
8020,GET,BEGIN,1512316866260979434
8020,GET,END,1512316866275990153
8021,GET,BEGIN,1512316867030461117
8021,GET,END,1512316867043455961
8022,GET,BEGIN,1512316867796382184
8022,GET,END,1512316867812668371
8023,GET,BEGIN,1512316868570785235
8023,GET,END,1512316868595132301
8024,GET,BEGIN,1512316869350607580
8024,GET,END,1512316869367669109
8025,GET,BEGIN,1512316870125125382
8025,GET,END,1512316870157158308
8026,GET,BEGIN,1512316870915464977
8026,GET,END,1512316870943903862
8027,GET,BEGIN,1512316871703748531
8027,GET,END,1512316871730994441
8028,GET,BEGIN,1512316872485943995
8028,GET,END,1512316872499053182
8029,GET,BEGIN,1512316873256898532
8029,GET,END,1512316873284976993
8030,GET,BEGIN,1512316874041294726
8030,GET,END,1512316874056830362
8031,GET,BEGIN,1512316874814770939
8031,GET,END,1512316874844332286
8032,GET,BEGIN,1512316875600726747
8032,GET,END,1512316875617842566
8033,GET,BEGIN,1512316876375820947
8033,GET,END,1512316876397125761
8034,GET,BEGIN,1512316877154455484
8034,GET,END,1512316877180846357
8035,GET,BEGIN,1512316877940439484
8035,GET,END,1512316877983239358
8036,GET,BEGIN,1512316878742642667
8036,GET,END,1512316878771434786
8037,GET,BEGIN,1512316879532605843
8037,GET,END,1512316879557265535
8038,GET,BEGIN,1512316880317684584
8038,GET,END,1512316880355563793
8039,GET,BEGIN,1512316881114673857
8039,GET,END,1512316881140755145
8040,GET,BEGIN,1512316881900628847
8040,GET,END,1512316881925510030
8041,GET,BEGIN,1512316882685781689
8041,GET,END,1512316882718663940
8042,GET,BEGIN,1512316883478031931
8042,GET,END,1512316883508461745
8043,GET,BEGIN,1512316884272152940
8043,GET,END,1512316884305536157
8044,GET,BEGIN,1512316885061111475
8044,GET,END,1512316885076124813
8045,GET,BEGIN,1512316885829605148
8045,GET,END,1512316885844596750
8046,GET,BEGIN,1512316886600930375
