ID,TIPO_REQUISICAO,MOMENTO,TIMESTAMP
1002,POST,BEGIN,1512312474878153648
1002,POST,END,1512312474904008125
1003,POST,BEGIN,1512312475243319105
1003,POST,END,1512312475262035673
1004,POST,BEGIN,1512312475597845818
1004,POST,END,1512312475611927482
1005,POST,BEGIN,1512312475951765923
1005,POST,END,1512312475986734296
1006,POST,BEGIN,1512312476328420827
1006,POST,END,1512312476364889599
1007,POST,BEGIN,1512312476706231246
1007,POST,END,1512312476731121380
1008,POST,BEGIN,1512312477072414049
1008,POST,END,1512312477114300182
1009,POST,BEGIN,1512312477454600277
1009,POST,END,1512312477478363068
1010,POST,BEGIN,1512312477820816818
1010,POST,END,1512312477861503453
1011,POST,BEGIN,1512312478201403936
1011,POST,END,1512312478219536878
1012,POST,BEGIN,1512312478556674241
1012,POST,END,1512312478575110056
1013,POST,BEGIN,1512312478915289525
1013,POST,END,1512312478953562527
1014,POST,BEGIN,1512312479296247331
1014,POST,END,1512312479332344299
1015,POST,BEGIN,1512312479675312371
1015,POST,END,1512312479706937453
1016,POST,BEGIN,1512312480048447050
1016,POST,END,1512312480088473038
1017,POST,BEGIN,1512312480427897722
1017,POST,END,1512312480451636094
1018,POST,BEGIN,1512312480793792924
1018,POST,END,1512312480834994890
1019,POST,BEGIN,1512312481175297780
1019,POST,END,1512312481189689351
1020,POST,BEGIN,1512312481530315788
1020,POST,END,1512312481566069977
1021,POST,BEGIN,1512312481908341200
1021,POST,END,1512312481948704278
1022,POST,BEGIN,1512312482291314469
1022,POST,END,1512312482332252288
1023,POST,BEGIN,1512312482673808148
1023,POST,END,1512312482705722440
1024,POST,BEGIN,1512312483048993014
1024,POST,END,1512312483080656775
1025,POST,BEGIN,1512312483421801137
1025,POST,END,1512312483457232168
1026,POST,BEGIN,1512312483798994197
1026,POST,END,1512312483965485155
1027,POST,BEGIN,1512312484308748639
1027,POST,END,1512312484345889549
1028,POST,BEGIN,1512312484689882049
1028,POST,END,1512312484726824969
1029,POST,BEGIN,1512312485072744162
1029,POST,END,1512312485112402802
1030,POST,BEGIN,1512312485455420911
1030,POST,END,1512312485487141185
1031,POST,BEGIN,1512312485829352313
1031,POST,END,1512312485862506485
1032,POST,BEGIN,1512312486205062819
1032,POST,END,1512312486241352814
1033,POST,BEGIN,1512312486584615517
1033,POST,END,1512312486683198094
1034,POST,BEGIN,1512312487026805662
1034,POST,END,1512312487067004640
1035,POST,BEGIN,1512312487410209674
1035,POST,END,1512312487446098966
1036,POST,BEGIN,1512312487789538964
1036,POST,END,1512312487821856586
1037,POST,BEGIN,1512312488164125839
1037,POST,END,1512312488196965855
1038,POST,BEGIN,1512312488539599246
1038,POST,END,1512312488572658085
1039,POST,BEGIN,1512312488920024700
1039,POST,END,1512312488952855673
1040,POST,BEGIN,1512312489293915733
1040,POST,END,1512312489336240178
1041,POST,BEGIN,1512312489678232162
1041,POST,END,1512312489714036377
1042,POST,BEGIN,1512312490056691557
1042,POST,END,1512312490088480209
1043,POST,BEGIN,1512312490432199414
1043,POST,END,1512312490465187476
1044,POST,BEGIN,1512312490808314449
1044,POST,END,1512312490841512823
1045,POST,BEGIN,1512312491183613711
1045,POST,END,1512312491219617650
1046,POST,BEGIN,1512312491562112631
1046,POST,END,1512312491601832159
1047,POST,BEGIN,1512312491945043399
1047,POST,END,1512312491977606722
1048,POST,BEGIN,1512312492319944757
1048,POST,END,1512312492357571478
1049,POST,BEGIN,1512312492699337334
1049,POST,END,1512312492733406296
1050,POST,BEGIN,1512312493077623210
1050,POST,END,1512312493109364450
1051,POST,BEGIN,1512312493455504336
1051,POST,END,1512312493488106805
1052,POST,BEGIN,1512312493829586406
1052,POST,END,1512312493864138844
1053,POST,BEGIN,1512312494206209103
1053,POST,END,1512312494240945619
1054,POST,BEGIN,1512312494583551566
1054,POST,END,1512312494619189014
1055,POST,BEGIN,1512312494962506789
1055,POST,END,1512312495000652088
1056,POST,BEGIN,1512312495344332450
1056,POST,END,1512312495377171540
1057,POST,BEGIN,1512312495720051756
1057,POST,END,1512312495755712964
1058,POST,BEGIN,1512312496097627244
1058,POST,END,1512312496132070325
1059,POST,BEGIN,1512312496474637661
1059,POST,END,1512312496508531064
1060,POST,BEGIN,1512312496850918225
1060,POST,END,1512312496883578158
1061,POST,BEGIN,1512312497225040164
1061,POST,END,1512312497257460399
1062,POST,BEGIN,1512312497599918193
1062,POST,END,1512312497640836493
1063,POST,BEGIN,1512312497982841922
1063,POST,END,1512312498022543986
1064,POST,BEGIN,1512312498365402779
1064,POST,END,1512312498407142316
1065,POST,BEGIN,1512312498750769060
1065,POST,END,1512312498783458450
1066,POST,BEGIN,1512312499125866624
1066,POST,END,1512312499157980198
1067,POST,BEGIN,1512312499500649174
1067,POST,END,1512312499535455836
1068,POST,BEGIN,1512312499877958088
1068,POST,END,1512312499909199582
1069,POST,BEGIN,1512312500252578306
1069,POST,END,1512312500292515660
1070,POST,BEGIN,1512312500633920809
1070,POST,END,1512312500668411049
1071,POST,BEGIN,1512312501010264830
1071,POST,END,1512312501046593915
1072,POST,BEGIN,1512312501388727139
1072,POST,END,1512312501419127758
1073,POST,BEGIN,1512312501761192206
1073,POST,END,1512312501796229773
1074,POST,BEGIN,1512312502138642863
1074,POST,END,1512312502175254497
1075,POST,BEGIN,1512312502518808211
1075,POST,END,1512312502556345416
1076,POST,BEGIN,1512312502898410571
1076,POST,END,1512312502936116952
1077,POST,BEGIN,1512312503278518469
1077,POST,END,1512312503310480708
1078,POST,BEGIN,1512312503652276305
1078,POST,END,1512312503689644763
1079,POST,BEGIN,1512312504031186589
1079,POST,END,1512312504063634405
1080,POST,BEGIN,1512312504405543078
1080,POST,END,1512312504438980561
1081,POST,BEGIN,1512312504783830168
1081,POST,END,1512312504817233660
1082,POST,BEGIN,1512312505159236119
1082,POST,END,1512312505195913870
1083,POST,BEGIN,1512312505537380540
1083,POST,END,1512312505579184542
1084,POST,BEGIN,1512312505921112428
1084,POST,END,1512312505962270259
1085,POST,BEGIN,1512312506305239139
1085,POST,END,1512312506339870492
1086,POST,BEGIN,1512312506681420872
1086,POST,END,1512312506713843340
1087,POST,BEGIN,1512312507055492288
1087,POST,END,1512312507089902856
1088,POST,BEGIN,1512312507432703118
1088,POST,END,1512312507474215995
1089,POST,BEGIN,1512312507816866214
1089,POST,END,1512312507854915940
1090,POST,BEGIN,1512312508196792482
1090,POST,END,1512312508231431156
1091,POST,BEGIN,1512312508574103530
1091,POST,END,1512312508606540510
1092,POST,BEGIN,1512312508948903367
1092,POST,END,1512312508986390732
1093,POST,BEGIN,1512312509328800523
1093,POST,END,1512312509360523903
1094,POST,BEGIN,1512312509702875938
1094,POST,END,1512312509738144373
1095,POST,BEGIN,1512312510079731224
1095,POST,END,1512312510113155299
1096,POST,BEGIN,1512312510456370769
1096,POST,END,1512312510490585956
1097,POST,BEGIN,1512312510831660560
1097,POST,END,1512312510870838406
1098,POST,BEGIN,1512312511211979524
1098,POST,END,1512312511244220492
1099,POST,BEGIN,1512312511586864222
1099,POST,END,1512312511621977984
1100,POST,BEGIN,1512312511969703214
1100,POST,END,1512312512003542648
1101,POST,BEGIN,1512312512346740359
1101,POST,END,1512312512379580725
1102,POST,BEGIN,1512312512721368527
1102,POST,END,1512312512754428109
1103,POST,BEGIN,1512312513098455488
1103,POST,END,1512312513129125429
1104,POST,BEGIN,1512312513471660518
1104,POST,END,1512312513504280938
1105,POST,BEGIN,1512312513845813369
1105,POST,END,1512312513880893977
1106,POST,BEGIN,1512312514223489385
1106,POST,END,1512312514259914940
1107,POST,BEGIN,1512312514602669703
1107,POST,END,1512312514637371323
1108,POST,BEGIN,1512312514981438987
1108,POST,END,1512312515017042481
1109,POST,BEGIN,1512312515360442243
1109,POST,END,1512312515396447658
1110,POST,BEGIN,1512312515738160777
1110,POST,END,1512312515777575029
1111,POST,BEGIN,1512312516120756383
1111,POST,END,1512312516154138777
1112,POST,BEGIN,1512312516497188196
1112,POST,END,1512312516535918247
1113,POST,BEGIN,1512312516884044295
1113,POST,END,1512312516977034795
1114,POST,BEGIN,1512312517317477704
1114,POST,END,1512312517356493973
1115,POST,BEGIN,1512312517699706361
1115,POST,END,1512312517731466165
1116,POST,BEGIN,1512312518075461421
1116,POST,END,1512312518106808613
1117,POST,BEGIN,1512312518449624805
1117,POST,END,1512312518481107075
1118,POST,BEGIN,1512312518824197494
1118,POST,END,1512312518856660232
1119,POST,BEGIN,1512312519199395041
1119,POST,END,1512312519233509238
1120,POST,BEGIN,1512312519575066291
1120,POST,END,1512312519612015684
1121,POST,BEGIN,1512312519957873671
1121,POST,END,1512312519992268160
1122,POST,BEGIN,1512312520336587320
1122,POST,END,1512312520367266094
1123,POST,BEGIN,1512312520710244625
1123,POST,END,1512312520742212775
1124,POST,BEGIN,1512312521085501412
1124,POST,END,1512312521117370308
1125,POST,BEGIN,1512312521460300064
1125,POST,END,1512312521493400435
1126,POST,BEGIN,1512312521835393729
1126,POST,END,1512312521871246742
1127,POST,BEGIN,1512312522212972633
1127,POST,END,1512312522248741498
1128,POST,BEGIN,1512312522591658005
1128,POST,END,1512312522626534723
1129,POST,BEGIN,1512312522968674310
1129,POST,END,1512312523006395392
1130,POST,BEGIN,1512312523348762836
