ID,TIPO_REQUISICAO,MOMENTO,TIMESTAMP
4002,POST,BEGIN,1512138736346634882
4002,POST,END,1512138736375171585
4003,POST,BEGIN,1512138737131067841
4003,POST,END,1512138737154328149
4004,POST,BEGIN,1512138737909625532
4004,POST,END,1512138737930420378
4005,POST,BEGIN,1512138738684350408
4005,POST,END,1512138738700616074
4006,POST,BEGIN,1512138739454745579
4006,POST,END,1512138739470995520
4007,POST,BEGIN,1512138740224619822
4007,POST,END,1512138740241200962
4008,POST,BEGIN,1512138740995834102
4008,POST,END,1512138741028932692
4009,POST,BEGIN,1512138741784727656
4009,POST,END,1512138741803323908
4010,POST,BEGIN,1512138742558031187
4010,POST,END,1512138742576890823
4011,POST,BEGIN,1512138743330947097
4011,POST,END,1512138743345128721
4012,POST,BEGIN,1512138744100480094
4012,POST,END,1512138744139421256
4013,POST,BEGIN,1512138744897751118
4013,POST,END,1512138744915944701
4014,POST,BEGIN,1512138745669532521
4014,POST,END,1512138745687943457
4015,POST,BEGIN,1512138746442507187
4015,POST,END,1512138746459797883
4016,POST,BEGIN,1512138747213615405
4016,POST,END,1512138747232904947
4017,POST,BEGIN,1512138747987130417
4017,POST,END,1512138748038213069
4018,POST,BEGIN,1512138748793038883
4018,POST,END,1512138748814935959
4019,POST,BEGIN,1512138749569069309
4019,POST,END,1512138749586977722
4020,POST,BEGIN,1512138750342110355
4020,POST,END,1512138750371375921
4021,POST,BEGIN,1512138751125972324
4021,POST,END,1512138751145606566
4022,POST,BEGIN,1512138751899777917
4022,POST,END,1512138751918686915
4023,POST,BEGIN,1512138752674256493
4023,POST,END,1512138752694568289
4024,POST,BEGIN,1512138753450891379
4024,POST,END,1512138753472020867
4025,POST,BEGIN,1512138754226118631
4025,POST,END,1512138754245856732
4026,POST,BEGIN,1512138754999746276
4026,POST,END,1512138755020160248
4027,POST,BEGIN,1512138755776764140
4027,POST,END,1512138755815767660
4028,POST,BEGIN,1512138756571378702
4028,POST,END,1512138756589236950
4029,POST,BEGIN,1512138757344080560
4029,POST,END,1512138757382948136
4030,POST,BEGIN,1512138758138488064
4030,POST,END,1512138758178979056
4031,POST,BEGIN,1512138758933698742
4031,POST,END,1512138758983318417
4032,POST,BEGIN,1512138759738358248
4032,POST,END,1512138759753307099
4033,POST,BEGIN,1512138760507282756
4033,POST,END,1512138760523047421
4034,POST,BEGIN,1512138761277567970
4034,POST,END,1512138761300462108
4035,POST,BEGIN,1512138762056158885
4035,POST,END,1512138762077150421
4036,POST,BEGIN,1512138762832881497
4036,POST,END,1512138762865934833
4037,POST,BEGIN,1512138763623666895
4037,POST,END,1512138763648523475
4038,POST,BEGIN,1512138764406529455
4038,POST,END,1512138764431231800
4039,POST,BEGIN,1512138765186392800
4039,POST,END,1512138765203557645
4040,POST,BEGIN,1512138765957609900
4040,POST,END,1512138765973893081
4041,POST,BEGIN,1512138766728395696
4041,POST,END,1512138766744179997
4042,POST,BEGIN,1512138767497906106
4042,POST,END,1512138767528751227
4043,POST,BEGIN,1512138768286863429
4043,POST,END,1512138768314861793
4044,POST,BEGIN,1512138769073208340
4044,POST,END,1512138769101813928
4045,POST,BEGIN,1512138769856549927
4045,POST,END,1512138769872461024
4046,POST,BEGIN,1512138770630889436
4046,POST,END,1512138770657849928
4047,POST,BEGIN,1512138771415064672
4047,POST,END,1512138771446645676
4048,POST,BEGIN,1512138772204437225
4048,POST,END,1512138772225523347
4049,POST,BEGIN,1512138772980766846
4049,POST,END,1512138773007068152
4050,POST,BEGIN,1512138773762903520
4050,POST,END,1512138773782701298
4051,POST,BEGIN,1512138774539549364
4051,POST,END,1512138774563593445
4052,POST,BEGIN,1512138775318249715
4052,POST,END,1512138775346948878
4053,POST,BEGIN,1512138776102121504
4053,POST,END,1512138776122981474
4054,POST,BEGIN,1512138776880797427
4054,POST,END,1512138776908304535
4055,POST,BEGIN,1512138777662749707
4055,POST,END,1512138777680300910
4056,POST,BEGIN,1512138778436410209
4056,POST,END,1512138778470876989
4057,POST,BEGIN,1512138779225431950
4057,POST,END,1512138779241088417
4058,POST,BEGIN,1512138779997212600
4058,POST,END,1512138780027839504
4059,POST,BEGIN,1512138780782087187
4059,POST,END,1512138780801442550
4060,POST,BEGIN,1512138781556943574
4060,POST,END,1512138781572113650
4061,POST,BEGIN,1512138782326090637
4061,POST,END,1512138782348253100
4062,POST,BEGIN,1512138783102720097
4062,POST,END,1512138783119924136
4063,POST,BEGIN,1512138783873464775
4063,POST,END,1512138783892106901
4064,POST,BEGIN,1512138784646448757
4064,POST,END,1512138784662587592
4065,POST,BEGIN,1512138785420022013
4065,POST,END,1512138785452075048
4066,POST,BEGIN,1512138786206668056
4066,POST,END,1512138786223032235
4067,POST,BEGIN,1512138786980101649
4067,POST,END,1512138787010169082
4068,POST,BEGIN,1512138787764357837
4068,POST,END,1512138787779508176
4069,POST,BEGIN,1512138788533358837
4069,POST,END,1512138788550252323
4070,POST,BEGIN,1512138789303970727
4070,POST,END,1512138789318464329
4071,POST,BEGIN,1512138790072465700
4071,POST,END,1512138790088234240
4072,POST,BEGIN,1512138790842495584
4072,POST,END,1512138790856991638
4073,POST,BEGIN,1512138791611264145
4073,POST,END,1512138791626768383
4074,POST,BEGIN,1512138792381021458
4074,POST,END,1512138792394998070
4075,POST,BEGIN,1512138793149103340
4075,POST,END,1512138793164732723
4076,POST,BEGIN,1512138793919885110
4076,POST,END,1512138793934896326
4077,POST,BEGIN,1512138794691493419
4077,POST,END,1512138794714054828
4078,POST,BEGIN,1512138795471245339
4078,POST,END,1512138795501114224
4079,POST,BEGIN,1512138796255617042
4079,POST,END,1512138796269408000
4080,POST,BEGIN,1512138797023606917
4080,POST,END,1512138797039624498
4081,POST,BEGIN,1512138797792933706
4081,POST,END,1512138797832073687
4082,POST,BEGIN,1512138798589339932
4082,POST,END,1512138798609622157
4083,POST,BEGIN,1512138799366127863
4083,POST,END,1512138799393528654
4084,POST,BEGIN,1512138800148007135
4084,POST,END,1512138800163537832
4085,POST,BEGIN,1512138800917229451
4085,POST,END,1512138800944678803
4086,POST,BEGIN,1512138801700350952
4086,POST,END,1512138801714717950
4087,POST,BEGIN,1512138802469198349
4087,POST,END,1512138802484674134
4088,POST,BEGIN,1512138803239398603
4088,POST,END,1512138803255072154
4089,POST,BEGIN,1512138804011719908
4089,POST,END,1512138804037629711
4090,POST,BEGIN,1512138804792966492
4090,POST,END,1512138804810792378
4091,POST,BEGIN,1512138805565835027
4091,POST,END,1512138805581957293
4092,POST,BEGIN,1512138806338829775
4092,POST,END,1512138806365155394
4093,POST,BEGIN,1512138807122133282
4093,POST,END,1512138807137202265
4094,POST,BEGIN,1512138807892514795
4094,POST,END,1512138807922105303
4095,POST,BEGIN,1512138808677088696
4095,POST,END,1512138808691934909
4096,POST,BEGIN,1512138809448146130
4096,POST,END,1512138809471079045
4097,POST,BEGIN,1512138810227898227
4097,POST,END,1512138810249249261
4098,POST,BEGIN,1512138811003366363
4098,POST,END,1512138811018412623
4099,POST,BEGIN,1512138811772280418
4099,POST,END,1512138811787742439
4100,POST,BEGIN,1512138812542848675
4100,POST,END,1512138812559774253
4101,POST,BEGIN,1512138813314382967
4101,POST,END,1512138813328521563
4102,POST,BEGIN,1512138814083562841
4102,POST,END,1512138814098234769
4103,POST,BEGIN,1512138814854588997
4103,POST,END,1512138814883960450
4104,POST,BEGIN,1512138815639031296
4104,POST,END,1512138815653224190
4105,POST,BEGIN,1512138816408808554
4105,POST,END,1512138816425314892
4106,POST,BEGIN,1512138817179586098
4106,POST,END,1512138817196758751
4107,POST,BEGIN,1512138817950747345
4107,POST,END,1512138817965112809
4108,POST,BEGIN,1512138818721021553
4108,POST,END,1512138818740740344
4109,POST,BEGIN,1512138819497747855
4109,POST,END,1512138819522614537
4110,POST,BEGIN,1512138820277426061
4110,POST,END,1512138820305523715
4111,POST,BEGIN,1512138821060240656
4111,POST,END,1512138821074213809
4112,POST,BEGIN,1512138821830526027
4112,POST,END,1512138821858037381
4113,POST,BEGIN,1512138822613119873
4113,POST,END,1512138822632758450
4114,POST,BEGIN,1512138823391349391
4114,POST,END,1512138823415930711
4115,POST,BEGIN,1512138824174104592
4115,POST,END,1512138824201405005
4116,POST,BEGIN,1512138824956697303
4116,POST,END,1512138824971942954
4117,POST,BEGIN,1512138825726821982
4117,POST,END,1512138825747874890
4118,POST,BEGIN,1512138826503938631
4118,POST,END,1512138826535969333
4119,POST,BEGIN,1512138827291927434
4119,POST,END,1512138827308964502
4120,POST,BEGIN,1512138828063389774
4120,POST,END,1512138828082714071
4121,POST,BEGIN,1512138828837132253
4121,POST,END,1512138828857108876
4122,POST,BEGIN,1512138829613570216
4122,POST,END,1512138829634350194
4123,POST,BEGIN,1512138830389960788
4123,POST,END,1512138830408594294
4124,POST,BEGIN,1512138831162295767
4124,POST,END,1512138831177099094
4125,POST,BEGIN,1512138831933165689
4125,POST,END,1512138831961598872
4126,POST,BEGIN,1512138832716970095
4126,POST,END,1512138832736164977
4127,POST,BEGIN,1512138833493230007
4127,POST,END,1512138833517429638
4128,POST,BEGIN,1512138834273186149
4128,POST,END,1512138834300939417
4129,POST,BEGIN,1512138835056775093
4129,POST,END,1512138835079030716
4130,POST,BEGIN,1512138835832939753
4130,POST,END,1512138835848195957
4131,POST,BEGIN,1512138836603227721
4131,POST,END,1512138836620031097
4132,POST,BEGIN,1512138837374019255
4132,POST,END,1512138837395572576
4133,POST,BEGIN,1512138838149357869
4133,POST,END,1512138838171737832
4134,POST,BEGIN,1512138838929621607
4134,POST,END,1512138838971832385
4135,POST,BEGIN,1512138839727004131
4135,POST,END,1512138839745676974
4136,POST,BEGIN,1512138840500431301
4136,POST,END,1512138840518949393
4137,POST,BEGIN,1512138841274124649
4137,POST,END,1512138841292471584
4138,POST,BEGIN,1512138842047816756
4138,POST,END,1512138842066192331
4139,POST,BEGIN,1512138842823304575
4139,POST,END,1512138842851388345
4140,POST,BEGIN,1512138843611011343
4140,POST,END,1512138843640518897
4141,POST,BEGIN,1512138844395915374
4141,POST,END,1512138844414337064
4142,POST,BEGIN,1512138845169426169
4142,POST,END,1512138845185464427
4143,POST,BEGIN,1512138845940835867
4143,POST,END,1512138845968812844
4144,POST,BEGIN,1512138846724684766
4144,POST,END,1512138846746152445
4145,POST,BEGIN,1512138847500195645
4145,POST,END,1512138847515737606
4146,POST,BEGIN,1512138848269242023
4146,POST,END,1512138848283680427
4147,POST,BEGIN,1512138849037671912
4147,POST,END,1512138849051119920
4148,POST,BEGIN,1512138849804842087
4148,POST,END,1512138849822785327
4149,POST,BEGIN,1512138850576493456
4149,POST,END,1512138850589370750
4150,POST,BEGIN,1512138851343463470
4150,POST,END,1512138851358088502
