ID,TIPO_REQUISICAO,MOMENTO,TIMESTAMP
1002,POST,BEGIN,1511741633889429677
1002,POST,END,1511741633947939425
1003,POST,BEGIN,1511741634284899554
1003,POST,END,1511741634305185517
1004,POST,BEGIN,1511741634641791701
1004,POST,END,1511741634667609186
1005,POST,BEGIN,1511741635004704672
1005,POST,END,1511741635021676981
1006,POST,BEGIN,1511741635358528322
1006,POST,END,1511741635379374105
1007,POST,BEGIN,1511741635718041551
1007,POST,END,1511741635749003210
1008,POST,BEGIN,1511741636086896999
1008,POST,END,1511741636102275849
1009,POST,BEGIN,1511741636439014491
1009,POST,END,1511741636459554363
1010,POST,BEGIN,1511741636797086098
1010,POST,END,1511741636836088570
1011,POST,BEGIN,1511741637175010642
1011,POST,END,1511741637207215558
1012,POST,BEGIN,1511741637544591248
1012,POST,END,1511741637565523139
1013,POST,BEGIN,1511741637902370905
1013,POST,END,1511741637940968195
1014,POST,BEGIN,1511741638277976005
1014,POST,END,1511741638294201882
1015,POST,BEGIN,1511741638630839703
1015,POST,END,1511741638648410516
1016,POST,BEGIN,1511741638984588825
1016,POST,END,1511741639006212823
1017,POST,BEGIN,1511741639342926562
1017,POST,END,1511741639360624884
1018,POST,BEGIN,1511741639697411041
1018,POST,END,1511741639713370769
1019,POST,BEGIN,1511741640051130591
1019,POST,END,1511741640076597171
1020,POST,BEGIN,1511741640415899105
1020,POST,END,1511741640445716522
1021,POST,BEGIN,1511741640783146761
1021,POST,END,1511741640800460873
1022,POST,BEGIN,1511741641138865430
1022,POST,END,1511741641157551081
1023,POST,BEGIN,1511741641496593710
1023,POST,END,1511741641631559217
1024,POST,BEGIN,1511741641969985207
1024,POST,END,1511741641992342699
1025,POST,BEGIN,1511741642329093761
1025,POST,END,1511741642344846700
1026,POST,BEGIN,1511741642682659022
1026,POST,END,1511741642705605447
1027,POST,BEGIN,1511741643045877277
1027,POST,END,1511741643084120766
1028,POST,BEGIN,1511741643424371286
1028,POST,END,1511741643456989175
1029,POST,BEGIN,1511741643794057547
1029,POST,END,1511741643812555868
1030,POST,BEGIN,1511741644152638649
1030,POST,END,1511741644184583854
1031,POST,BEGIN,1511741644524034326
1031,POST,END,1511741644551738777
1032,POST,BEGIN,1511741644888731734
1032,POST,END,1511741644902300896
1033,POST,BEGIN,1511741645238682277
1033,POST,END,1511741645254849275
1034,POST,BEGIN,1511741645591697868
1034,POST,END,1511741645627624464
1035,POST,BEGIN,1511741645968690336
1035,POST,END,1511741645994633566
1036,POST,BEGIN,1511741646331536825
1036,POST,END,1511741646348257912
1037,POST,BEGIN,1511741646685304992
1037,POST,END,1511741646704066334
1038,POST,BEGIN,1511741647041479948
1038,POST,END,1511741647065364361
1039,POST,BEGIN,1511741647401903794
1039,POST,END,1511741647415599708
1040,POST,BEGIN,1511741647755367576
1040,POST,END,1511741647781844256
1041,POST,BEGIN,1511741648125089115
1041,POST,END,1511741648156655960
1042,POST,BEGIN,1511741648494000675
1042,POST,END,1511741648507819362
1043,POST,BEGIN,1511741648845079335
1043,POST,END,1511741648868183617
1044,POST,BEGIN,1511741649205108276
1044,POST,END,1511741649225778697
1045,POST,BEGIN,1511741649562301296
1045,POST,END,1511741649587725668
1046,POST,BEGIN,1511741649926512307
1046,POST,END,1511741649962380958
1047,POST,BEGIN,1511741650299893729
1047,POST,END,1511741650313767151
1048,POST,BEGIN,1511741650653553902
1048,POST,END,1511741650680853174
1049,POST,BEGIN,1511741651019831801
1049,POST,END,1511741651038178927
1050,POST,BEGIN,1511741651376848888
1050,POST,END,1511741651394730975
1051,POST,BEGIN,1511741651734524363
1051,POST,END,1511741651761945786
1052,POST,BEGIN,1511741652100643105
1052,POST,END,1511741652140378884
