"ID,TIPO_REQUISICAO,MOMENTO,TIMESTAMP"
4002,POST,BEGIN,1511116015221589867
4002,POST,END,1511116015236629601
4003,POST,BEGIN,1511116015990307683
4003,POST,END,1511116016004762181
4004,POST,BEGIN,1511116016758107377
4004,POST,END,1511116016772480325
4005,POST,BEGIN,1511116017526177768
4005,POST,END,1511116017540955480
4006,POST,BEGIN,1511116018295528157
4006,POST,END,1511116018326452299
4007,POST,BEGIN,1511116019080830582
4007,POST,END,1511116019099119740
4008,POST,BEGIN,1511116019852990174
4008,POST,END,1511116019873470700
4009,POST,BEGIN,1511116020627175267
4009,POST,END,1511116020646296539
4010,POST,BEGIN,1511116021399897077
4010,POST,END,1511116021415779238
4011,POST,BEGIN,1511116022169608077
4011,POST,END,1511116022184737975
4012,POST,BEGIN,1511116022938374054
4012,POST,END,1511116022954405737
4013,POST,BEGIN,1511116023708205491
4013,POST,END,1511116023723918595
4014,POST,BEGIN,1511116024478474484
4014,POST,END,1511116024498735850
4015,POST,BEGIN,1511116025252357765
4015,POST,END,1511116025268918153
4016,POST,BEGIN,1511116026022495451
4016,POST,END,1511116026037670847
4017,POST,BEGIN,1511116026791344908
4017,POST,END,1511116026807119026
4018,POST,BEGIN,1511116027561238957
4018,POST,END,1511116027576278023
4019,POST,BEGIN,1511116028329886825
4019,POST,END,1511116028347132646
4020,POST,BEGIN,1511116029101117933
4020,POST,END,1511116029116584150
4021,POST,BEGIN,1511116029870389620
4021,POST,END,1511116029900863894
4022,POST,BEGIN,1511116030655471978
4022,POST,END,1511116030670684332
4023,POST,BEGIN,1511116031426628388
4023,POST,END,1511116031453881930
4024,POST,BEGIN,1511116032209346492
4024,POST,END,1511116032238059270
4025,POST,BEGIN,1511116032995294994
4025,POST,END,1511116033023160644
4026,POST,BEGIN,1511116033777626788
4026,POST,END,1511116033794935150
4027,POST,BEGIN,1511116034551444533
4027,POST,END,1511116034578881304
4028,POST,BEGIN,1511116035335957880
4028,POST,END,1511116035350767120
4029,POST,BEGIN,1511116036105923289
4029,POST,END,1511116036125594531
4030,POST,BEGIN,1511116036882098019
4030,POST,END,1511116036915890145
4031,POST,BEGIN,1511116037673657409
4031,POST,END,1511116037705612235
4032,POST,BEGIN,1511116038461364464
4032,POST,END,1511116038482778720
4033,POST,BEGIN,1511116039240057853
4033,POST,END,1511116039269126030
4034,POST,BEGIN,1511116040024368441
4034,POST,END,1511116040038866794
4035,POST,BEGIN,1511116040794613677
4035,POST,END,1511116040815489967
4036,POST,BEGIN,1511116041571796326
4036,POST,END,1511116041621781315
4037,POST,BEGIN,1511116042376119884
4037,POST,END,1511116042393509595
4038,POST,BEGIN,1511116043148005193
4038,POST,END,1511116043164120852
4039,POST,BEGIN,1511116043918269480
4039,POST,END,1511116043935714310
4040,POST,BEGIN,1511116044692829048
4040,POST,END,1511116044722547136
4041,POST,BEGIN,1511116045476639378
4041,POST,END,1511116045493372568
4042,POST,BEGIN,1511116046247416119
4042,POST,END,1511116046267590282
4043,POST,BEGIN,1511116047022024617
4043,POST,END,1511116047040006961
4044,POST,BEGIN,1511116047794968369
4044,POST,END,1511116047819029342
4045,POST,BEGIN,1511116048576387583
4045,POST,END,1511116048606518512
4046,POST,BEGIN,1511116049360682493
4046,POST,END,1511116049376820763
4047,POST,BEGIN,1511116050133546290
4047,POST,END,1511116050156345984
4048,POST,BEGIN,1511116050913537503
4048,POST,END,1511116050942550918
4049,POST,BEGIN,1511116051697375205
4049,POST,END,1511116051712724138
4050,POST,BEGIN,1511116052469648721
4050,POST,END,1511116052497351855
4051,POST,BEGIN,1511116053253660346
4051,POST,END,1511116053276958781
4052,POST,BEGIN,1511116054033036425
4052,POST,END,1511116054056168315
4053,POST,BEGIN,1511116054809955364
4053,POST,END,1511116054839627887
4054,POST,BEGIN,1511116055594358653
4054,POST,END,1511116055610250266
4055,POST,BEGIN,1511116056363353671
4055,POST,END,1511116056378509033
4056,POST,BEGIN,1511116057134996703
4056,POST,END,1511116057156966518
4057,POST,BEGIN,1511116057911111204
4057,POST,END,1511116057931264209
4058,POST,BEGIN,1511116058686611394
4058,POST,END,1511116058710586191
4059,POST,BEGIN,1511116059466744961
4059,POST,END,1511116059500303073
4060,POST,BEGIN,1511116060257534228
4060,POST,END,1511116060288438457
4061,POST,BEGIN,1511116061045915018
4061,POST,END,1511116061071753867
4062,POST,BEGIN,1511116061828662180
4062,POST,END,1511116061856507959
4063,POST,BEGIN,1511116062613067236
4063,POST,END,1511116062642964859
4064,POST,BEGIN,1511116063399137061
4064,POST,END,1511116063425149258
4065,POST,BEGIN,1511116064178821934
4065,POST,END,1511116064194579041
4066,POST,BEGIN,1511116064951680507
4066,POST,END,1511116064978195049
4067,POST,BEGIN,1511116065734688431
4067,POST,END,1511116065757056138
4068,POST,BEGIN,1511116066513131918
4068,POST,END,1511116066543601028
4069,POST,BEGIN,1511116067298441870
4069,POST,END,1511116067314181214
4070,POST,BEGIN,1511116068068158119
