ID,TIPO_REQUISICAO,MOMENTO,TIMESTAMP
6002,GET,BEGIN,1511141651240527315
6002,GET,END,1511141651258347879
6003,GET,BEGIN,1511141651597961574
6003,GET,END,1511141651629118660
6004,GET,BEGIN,1511141651966242468
6004,GET,END,1511141651983403597
6005,GET,BEGIN,1511141652321568354
6005,GET,END,1511141652362074639
6006,GET,BEGIN,1511141652699064775
6006,GET,END,1511141652733026819
6007,GET,BEGIN,1511141653070209308
6007,GET,END,1511141653087578788
6008,GET,BEGIN,1511141653424204958
6008,GET,END,1511141653440081124
6009,GET,BEGIN,1511141653777582412
6009,GET,END,1511141653803234501
6010,GET,BEGIN,1511141654140428713
6010,GET,END,1511141654160028873
6011,GET,BEGIN,1511141654496451491
6011,GET,END,1511141654514267366
6012,GET,BEGIN,1511141654850605820
6012,GET,END,1511141654867388975
6013,GET,BEGIN,1511141655203732534
6013,GET,END,1511141655221756148
6014,GET,BEGIN,1511141655558408193
6014,GET,END,1511141655577880246
6015,GET,BEGIN,1511141655913797372
6015,GET,END,1511141655934817303
6016,GET,BEGIN,1511141656271451897
6016,GET,END,1511141656301616065
6017,GET,BEGIN,1511141656638801109
6017,GET,END,1511141656655666626
6018,GET,BEGIN,1511141656993695144
6018,GET,END,1511141657011876640
6019,GET,BEGIN,1511141657351266507
6019,GET,END,1511141657379923215
6020,GET,BEGIN,1511141657717286768
6020,GET,END,1511141657734689659
6021,GET,BEGIN,1511141658074464855
6021,GET,END,1511141658103744876
6022,GET,BEGIN,1511141658441316969
6022,GET,END,1511141658456566696
6023,GET,BEGIN,1511141658796164931
6023,GET,END,1511141658829527938
6024,GET,BEGIN,1511141659166491379
6024,GET,END,1511141659181594806
6025,GET,BEGIN,1511141659521361728
6025,GET,END,1511141659554018916
6026,GET,BEGIN,1511141659892532035
6026,GET,END,1511141659909849080
6027,GET,BEGIN,1511141660246726728
6027,GET,END,1511141660261648316
6028,GET,BEGIN,1511141660598131277
6028,GET,END,1511141660612871116
6029,GET,BEGIN,1511141660952430995
6029,GET,END,1511141660978391662
6030,GET,BEGIN,1511141661315401586
6030,GET,END,1511141661330446642
6031,GET,BEGIN,1511141661666992459
6031,GET,END,1511141661682464963
6032,GET,BEGIN,1511141662019776698
6032,GET,END,1511141662037741985
6033,GET,BEGIN,1511141662376209747
6033,GET,END,1511141662395516618
6034,GET,BEGIN,1511141662732251399
6034,GET,END,1511141662747254985
6035,GET,BEGIN,1511141663084757756
6035,GET,END,1511141663102649738
6036,GET,BEGIN,1511141663439490806
6036,GET,END,1511141663454550384
6037,GET,BEGIN,1511141663790111972
6037,GET,END,1511141663806192520
6038,GET,BEGIN,1511141664143559040
6038,GET,END,1511141664160230272
6039,GET,BEGIN,1511141664496956059
6039,GET,END,1511141664512399718
6040,GET,BEGIN,1511141664848993958
6040,GET,END,1511141664863992216
6041,GET,BEGIN,1511141665201143176
