
ID,TIPO_REQUISICAO,MOMENTO,TIMESTAMP
4002,POST,BEGIN,1511631810358349799
4002,POST,END,1511631810389053061
4003,POST,BEGIN,1511631811146477933
4003,POST,END,1511631811190502350
4004,POST,BEGIN,1511631811947637158
4004,POST,END,1511631812014503252
4005,POST,BEGIN,1511631812772329674
4005,POST,END,1511631812826663852
4006,POST,BEGIN,1511631813581013015
4006,POST,END,1511631813620181797
4007,POST,BEGIN,1511631814375096235
4007,POST,END,1511631814406282040
4008,POST,BEGIN,1511631815161547845
4008,POST,END,1511631815191077218
4009,POST,BEGIN,1511631815944844943
4009,POST,END,1511631815985992453
4010,POST,BEGIN,1511631816741026809
4010,POST,END,1511631816774941844
4011,POST,BEGIN,1511631817528635504
4011,POST,END,1511631817558036824
4012,POST,BEGIN,1511631818312636609
4012,POST,END,1511631818337812862
4013,POST,BEGIN,1511631819093469259
4013,POST,END,1511631819109591985
4014,POST,BEGIN,1511631819863432719
4014,POST,END,1511631819885274704
4015,POST,BEGIN,1511631820641610197
4015,POST,END,1511631820688349974
4016,POST,BEGIN,1511631821442846957
4016,POST,END,1511631821465961927
4017,POST,BEGIN,1511631822222698469
4017,POST,END,1511631822251966467
4018,POST,BEGIN,1511631823006181814
4018,POST,END,1511631823028642641
4019,POST,BEGIN,1511631823782347120
4019,POST,END,1511631823803726973
4020,POST,BEGIN,1511631824559844442
4020,POST,END,1511631824595095467
4021,POST,BEGIN,1511631825352082487
4021,POST,END,1511631825379860297
4022,POST,BEGIN,1511631826135959349
4022,POST,END,1511631826160728717
4023,POST,BEGIN,1511631826916858176
4023,POST,END,1511631826955590926
4024,POST,BEGIN,1511631827709459339
4024,POST,END,1511631827723774048
4025,POST,BEGIN,1511631828478802337
4025,POST,END,1511631828502714126
4026,POST,BEGIN,1511631829259201196
4026,POST,END,1511631829300135053
4027,POST,BEGIN,1511631830053846403
4027,POST,END,1511631830084408055
4028,POST,BEGIN,1511631830838331698
4028,POST,END,1511631830860575567
4029,POST,BEGIN,1511631831617349107
4029,POST,END,1511631831663135603
4030,POST,BEGIN,1511631832420611903
4030,POST,END,1511631832467177060
4031,POST,BEGIN,1511631833222493768
4031,POST,END,1511631833248961715
4032,POST,BEGIN,1511631834004530555
4032,POST,END,1511631834060876339
4033,POST,BEGIN,1511631834818137317
4033,POST,END,1511631834851913617
4034,POST,BEGIN,1511631835606113634
4034,POST,END,1511631835632014303
4035,POST,BEGIN,1511631836385819711
4035,POST,END,1511631836404647694
4036,POST,BEGIN,1511631837158281795
4036,POST,END,1511631837196857949
4037,POST,BEGIN,1511631837951547020
4037,POST,END,1511631838009015801
4038,POST,BEGIN,1511631838766019112
4038,POST,END,1511631838796527695
4039,POST,BEGIN,1511631839550609311
4039,POST,END,1511631839567737293
4040,POST,BEGIN,1511631840324008769
4040,POST,END,1511631840349994667
4041,POST,BEGIN,1511631841104077492
4041,POST,END,1511631841124221490
4042,POST,BEGIN,1511631841878005197
4042,POST,END,1511631841892015898
4043,POST,BEGIN,1511631842648051480
4043,POST,END,1511631842685151953
4044,POST,BEGIN,1511631843441624499
4044,POST,END,1511631843487612254
4045,POST,BEGIN,1511631844241549941
4045,POST,END,1511631844261026918
4046,POST,BEGIN,1511631845020003406
