ID,TIPO_REQUISICAO,MOMENTO,TIMESTAMP
1002,POST,BEGIN,1512310726716006980
1002,POST,END,1512310726735817886
1003,POST,BEGIN,1512310727079470857
1003,POST,END,1512310727120367976
1004,POST,BEGIN,1512310727464523283
1004,POST,END,1512310727502791460
1005,POST,BEGIN,1512310727848283530
1005,POST,END,1512310727891090168
1006,POST,BEGIN,1512310728236799585
1006,POST,END,1512310728281427267
1007,POST,BEGIN,1512310728627224067
1007,POST,END,1512310728672521700
1008,POST,BEGIN,1512310729015105266
1008,POST,END,1512310729050414982
1009,POST,BEGIN,1512310729395987169
1009,POST,END,1512310729439580212
1010,POST,BEGIN,1512310729782381737
1010,POST,END,1512310729816432339
1011,POST,BEGIN,1512310730161616861
1011,POST,END,1512310730207976761
1012,POST,BEGIN,1512310730553255291
1012,POST,END,1512310730594078037
1013,POST,BEGIN,1512310730938356952
1013,POST,END,1512310730978502469
1014,POST,BEGIN,1512310731322135485
1014,POST,END,1512310731362943874
1015,POST,BEGIN,1512310731708040695
1015,POST,END,1512310731754367976
1016,POST,BEGIN,1512310732099307234
1016,POST,END,1512310732139903469
1017,POST,BEGIN,1512310732484512980
1017,POST,END,1512310732523265269
1018,POST,BEGIN,1512310732867445232
1018,POST,END,1512310732907494089
1019,POST,BEGIN,1512310733252761875
1019,POST,END,1512310733294317537
1020,POST,BEGIN,1512310733640171676
1020,POST,END,1512310733684067323
1021,POST,BEGIN,1512310734029209075
1021,POST,END,1512310734068004076
1022,POST,BEGIN,1512310734412717384
1022,POST,END,1512310734458584388
1023,POST,BEGIN,1512310734804964104
1023,POST,END,1512310734843777026
1024,POST,BEGIN,1512310735188527267
1024,POST,END,1512310735228529816
1025,POST,BEGIN,1512310735573992471
1025,POST,END,1512310735614137245
1026,POST,BEGIN,1512310735961139176
1026,POST,END,1512310736004332341
1027,POST,BEGIN,1512310736347071258
1027,POST,END,1512310736385064487
1028,POST,BEGIN,1512310736731174977
1028,POST,END,1512310736778120529
1029,POST,BEGIN,1512310737121925156
1029,POST,END,1512310737165221638
1030,POST,BEGIN,1512310737509304076
1030,POST,END,1512310737552723881
1031,POST,BEGIN,1512310737898311774
1031,POST,END,1512310737939412165
1032,POST,BEGIN,1512310738284705457
1032,POST,END,1512310738332119565
1033,POST,BEGIN,1512310738677611116
1033,POST,END,1512310738718012709
1034,POST,BEGIN,1512310739059180614
1034,POST,END,1512310739091229917
1035,POST,BEGIN,1512310739436669884
1035,POST,END,1512310739478414973
1036,POST,BEGIN,1512310739820687980
1036,POST,END,1512310739857446720
1037,POST,BEGIN,1512310740201883584
1037,POST,END,1512310740249259607
1038,POST,BEGIN,1512310740594519034
1038,POST,END,1512310740633327050
1039,POST,BEGIN,1512310740976913630
1039,POST,END,1512310741014894345
1040,POST,BEGIN,1512310741359028233
1040,POST,END,1512310741400763518
1041,POST,BEGIN,1512310741738906435
1041,POST,END,1512310741753736730
1042,POST,BEGIN,1512310742096848550
1042,POST,END,1512310742138787005
1043,POST,BEGIN,1512310742484377474
1043,POST,END,1512310742526156184
1044,POST,BEGIN,1512310742872349330
1044,POST,END,1512310742911876104
1045,POST,BEGIN,1512310743258249095
1045,POST,END,1512310743304652046
1046,POST,BEGIN,1512310743650328197
1046,POST,END,1512310743691539243
1047,POST,BEGIN,1512310744038064071
1047,POST,END,1512310744077842274
1048,POST,BEGIN,1512310744423432127
1048,POST,END,1512310744463922923
1049,POST,BEGIN,1512310744808739446
1049,POST,END,1512310744850245211
1050,POST,BEGIN,1512310745197101726
1050,POST,END,1512310745238837083
1051,POST,BEGIN,1512310745584737146
1051,POST,END,1512310745626428106
1052,POST,BEGIN,1512310745971921323
1052,POST,END,1512310746024639211
1053,POST,BEGIN,1512310746368589042
1053,POST,END,1512310746408586001
1054,POST,BEGIN,1512310746754412419
1054,POST,END,1512310746793188280
1055,POST,BEGIN,1512310747137031783
1055,POST,END,1512310747165319803
1056,POST,BEGIN,1512310747510882534
1056,POST,END,1512310747551710966
1057,POST,BEGIN,1512310747897600487
1057,POST,END,1512310747937557703
1058,POST,BEGIN,1512310748284034218
1058,POST,END,1512310748322860684
1059,POST,BEGIN,1512310748668335180
1059,POST,END,1512310748708651344
1060,POST,BEGIN,1512310749049051509
1060,POST,END,1512310749078477859
1061,POST,BEGIN,1512310749423159832
1061,POST,END,1512310749468231130
1062,POST,BEGIN,1512310749813678523
1062,POST,END,1512310749851498491
