ID,TIPO_REQUISICAO,MOMENTO,TIMESTAMP
4002,POST,BEGIN,1512354879753956805
4002,POST,END,1512354879784610476
4003,POST,BEGIN,1512354880538150495
4003,POST,END,1512354880555477002
4004,POST,BEGIN,1512354881309395187
4004,POST,END,1512354881326518607
4005,POST,BEGIN,1512354882081208292
4005,POST,END,1512354882102154810
4006,POST,BEGIN,1512354882855947897
4006,POST,END,1512354882875556116
4007,POST,BEGIN,1512354883629389846
4007,POST,END,1512354883658034071
4008,POST,BEGIN,1512354884413938805
4008,POST,END,1512354884452421729
4009,POST,BEGIN,1512354885205670837
4009,POST,END,1512354885229257494
4010,POST,BEGIN,1512354885986626954
4010,POST,END,1512354886019992982
4011,POST,BEGIN,1512354886774700964
4011,POST,END,1512354886795981582
4012,POST,BEGIN,1512354887553258791
4012,POST,END,1512354887600208230
4013,POST,BEGIN,1512354888354084400
4013,POST,END,1512354888372547152
4014,POST,BEGIN,1512354889128974401
4014,POST,END,1512354889159474455
4015,POST,BEGIN,1512354889914648251
4015,POST,END,1512354889935630267
4016,POST,BEGIN,1512354890689584576
4016,POST,END,1512354890711199327
4017,POST,BEGIN,1512354891467118822
4017,POST,END,1512354891511559870
4018,POST,BEGIN,1512354892266211004
4018,POST,END,1512354892286294886
4019,POST,BEGIN,1512354893040127070
4019,POST,END,1512354893056016595
4020,POST,BEGIN,1512354893812460943
4020,POST,END,1512354893835108361
4021,POST,BEGIN,1512354894589183863
4021,POST,END,1512354894604482119
4022,POST,BEGIN,1512354895358643051
4022,POST,END,1512354895377038107
4023,POST,BEGIN,1512354896131896847
4023,POST,END,1512354896162299574
4024,POST,BEGIN,1512354896916967986
4024,POST,END,1512354896933811729
4025,POST,BEGIN,1512354897691235898
4025,POST,END,1512354897717346018
4026,POST,BEGIN,1512354898471718474
4026,POST,END,1512354898494719276
4027,POST,BEGIN,1512354899248581310
4027,POST,END,1512354899263284106
4028,POST,BEGIN,1512354900016972127
4028,POST,END,1512354900035328811
4029,POST,BEGIN,1512354900792334335
4029,POST,END,1512354900827765096
4030,POST,BEGIN,1512354901585173902
4030,POST,END,1512354901631732122
4031,POST,BEGIN,1512354902387122851
4031,POST,END,1512354902409274223
4032,POST,BEGIN,1512354903163410282
4032,POST,END,1512354903182111764
4033,POST,BEGIN,1512354903937160646
4033,POST,END,1512354903957568895
4034,POST,BEGIN,1512354904712572364
4034,POST,END,1512354904734311763
4035,POST,BEGIN,1512354905488937227
4035,POST,END,1512354905511113663
4036,POST,BEGIN,1512354906265347885
4036,POST,END,1512354906280402887
4037,POST,BEGIN,1512354907034559337
4037,POST,END,1512354907049300767
4038,POST,BEGIN,1512354907803790771
4038,POST,END,1512354907817323470
4039,POST,BEGIN,1512354908573884132
4039,POST,END,1512354908597142618
4040,POST,BEGIN,1512354909352319657
4040,POST,END,1512354909370092359
4041,POST,BEGIN,1512354910124083628
4041,POST,END,1512354910138358447
4042,POST,BEGIN,1512354910894873338
4042,POST,END,1512354910915376675
4043,POST,BEGIN,1512354911669092254
4043,POST,END,1512354911686292410
4044,POST,BEGIN,1512354912443141282
4044,POST,END,1512354912465300269
4045,POST,BEGIN,1512354913222206203
4045,POST,END,1512354913254771627
4046,POST,BEGIN,1512354914013932870
4046,POST,END,1512354914046036577
4047,POST,BEGIN,1512354914802657007
4047,POST,END,1512354914822632581
4048,POST,BEGIN,1512354915580113532
4048,POST,END,1512354915606552178
4049,POST,BEGIN,1512354916361160149
4049,POST,END,1512354916379257652
4050,POST,BEGIN,1512354917134169558
4050,POST,END,1512354917150680874
4051,POST,BEGIN,1512354917907292418
4051,POST,END,1512354917922083122
4052,POST,BEGIN,1512354918676310113
