ID,TIPO_REQUISICAO,MOMENTO,TIMESTAMP
8002,POST,BEGIN,1511640682654922071
8002,POST,END,1511640682692779070
8003,POST,BEGIN,1511640683447499568
8003,POST,END,1511640683465901740
8004,POST,BEGIN,1511640684222554405
8004,POST,END,1511640684255766861
8005,POST,BEGIN,1511640685010736142
8005,POST,END,1511640685033000029
8006,POST,BEGIN,1511640685786048896
8006,POST,END,1511640685803585180
8007,POST,BEGIN,1511640686556547028
8007,POST,END,1511640686575500463
8008,POST,BEGIN,1511640687328920307
8008,POST,END,1511640687347454433
8009,POST,BEGIN,1511640688100868507
8009,POST,END,1511640688119239724
8010,POST,BEGIN,1511640688872909818
8010,POST,END,1511640688890246052
8011,POST,BEGIN,1511640689644489856
8011,POST,END,1511640689663580183
8012,POST,BEGIN,1511640690417453381
8012,POST,END,1511640690436861876
8013,POST,BEGIN,1511640691191515656
8013,POST,END,1511640691209984048
8014,POST,BEGIN,1511640691963924033
8014,POST,END,1511640691979949438
8015,POST,BEGIN,1511640692742841545
8015,POST,END,1511640692771084068
8016,POST,BEGIN,1511640693524962449
8016,POST,END,1511640693540795324
8017,POST,BEGIN,1511640694294413227
8017,POST,END,1511640694328032324
8018,POST,BEGIN,1511640695082731821
8018,POST,END,1511640695097600964
8019,POST,BEGIN,1511640695851376220
8019,POST,END,1511640695867231997
8020,POST,BEGIN,1511640696620879981
8020,POST,END,1511640696639058284
8021,POST,BEGIN,1511640697392313955
8021,POST,END,1511640697406782130
8022,POST,BEGIN,1511640698163571595
8022,POST,END,1511640698194807774
8023,POST,BEGIN,1511640698949178496
8023,POST,END,1511640698966580916
8024,POST,BEGIN,1511640699720037860
8024,POST,END,1511640699734909772
8025,POST,BEGIN,1511640700492015810
8025,POST,END,1511640700521199965
8026,POST,BEGIN,1511640701276543236
8026,POST,END,1511640701294740083
8027,POST,BEGIN,1511640702049447640
8027,POST,END,1511640702066803028
8028,POST,BEGIN,1511640702822146902
8028,POST,END,1511640702843204130
8029,POST,BEGIN,1511640703597010522
8029,POST,END,1511640703611816891
8030,POST,BEGIN,1511640704365605772
8030,POST,END,1511640704381500757
8031,POST,BEGIN,1511640705136835467
8031,POST,END,1511640705159237958
8032,POST,BEGIN,1511640705916389196
8032,POST,END,1511640705947208154
8033,POST,BEGIN,1511640706704233811
8033,POST,END,1511640706729997214
8034,POST,BEGIN,1511640707486481317
8034,POST,END,1511640707518068066
8035,POST,BEGIN,1511640708274875108
8035,POST,END,1511640708298441885
8036,POST,BEGIN,1511640709052395713
8036,POST,END,1511640709068001714
8037,POST,BEGIN,1511640709825032917
8037,POST,END,1511640709853177065
8038,POST,BEGIN,1511640710607615644
8038,POST,END,1511640710638946105
8039,POST,BEGIN,1511640711395337454
8039,POST,END,1511640711416961156
8040,POST,BEGIN,1511640712173744213
8040,POST,END,1511640712206790776
8041,POST,BEGIN,1511640712964311593
8041,POST,END,1511640712994667033
8042,POST,BEGIN,1511640713750652912
8042,POST,END,1511640713770241152
8043,POST,BEGIN,1511640714525531186
8043,POST,END,1511640714566289699
8044,POST,BEGIN,1511640715320799249
8044,POST,END,1511640715335321082
8045,POST,BEGIN,1511640716091755765
8045,POST,END,1511640716122085746
8046,POST,BEGIN,1511640716879232972
8046,POST,END,1511640716905015266
8047,POST,BEGIN,1511640717662729503
8047,POST,END,1511640717695309591
8048,POST,BEGIN,1511640718449649928
8048,POST,END,1511640718466947688
8049,POST,BEGIN,1511640719220608305
8049,POST,END,1511640719237200140
8050,POST,BEGIN,1511640719994085360
8050,POST,END,1511640720027471687
8051,POST,BEGIN,1511640720783875501
8051,POST,END,1511640720808492318
8052,POST,BEGIN,1511640721562139137
8052,POST,END,1511640721585217687
8053,POST,BEGIN,1511640722343078096
8053,POST,END,1511640722375991910
8054,POST,BEGIN,1511640723133007181
8054,POST,END,1511640723159288598
8055,POST,BEGIN,1511640723916741678
8055,POST,END,1511640723947572588
8056,POST,BEGIN,1511640724701375859
8056,POST,END,1511640724720180827
8057,POST,BEGIN,1511640725476725226
8057,POST,END,1511640725505267262
8058,POST,BEGIN,1511640726259626665
8058,POST,END,1511640726287283936
8059,POST,BEGIN,1511640727042848861
8059,POST,END,1511640727068285604
8060,POST,BEGIN,1511640727822179680
8060,POST,END,1511640727836809609
8061,POST,BEGIN,1511640728592823872
8061,POST,END,1511640728624150075
8062,POST,BEGIN,1511640729378445026
8062,POST,END,1511640729393446022
8063,POST,BEGIN,1511640730149937809
8063,POST,END,1511640730187583790
8064,POST,BEGIN,1511640730941979275
8064,POST,END,1511640730976689758
8065,POST,BEGIN,1511640731731033196
8065,POST,END,1511640731754309392
8066,POST,BEGIN,1511640732507969259
8066,POST,END,1511640732526507118
8067,POST,BEGIN,1511640733282787219
8067,POST,END,1511640733323513899
8068,POST,BEGIN,1511640734079216139
8068,POST,END,1511640734108753752
8069,POST,BEGIN,1511640734862201945
8069,POST,END,1511640734891666905
8070,POST,BEGIN,1511640735648823777
8070,POST,END,1511640735686842245
8071,POST,BEGIN,1511640736441487516
8071,POST,END,1511640736459769442
8072,POST,BEGIN,1511640737216911576
8072,POST,END,1511640737255429584
8073,POST,BEGIN,1511640738011165008
8073,POST,END,1511640738035138944
8074,POST,BEGIN,1511640738792490674
8074,POST,END,1511640738828103270
8075,POST,BEGIN,1511640739582468587
8075,POST,END,1511640739617346959
8076,POST,BEGIN,1511640740373110324
8076,POST,END,1511640740389603820
8077,POST,BEGIN,1511640741143169568
8077,POST,END,1511640741159208465
8078,POST,BEGIN,1511640741915104002
8078,POST,END,1511640741932970725
8079,POST,BEGIN,1511640742686682096
8079,POST,END,1511640742709276114
8080,POST,BEGIN,1511640743463453226
8080,POST,END,1511640743482755602
8081,POST,BEGIN,1511640744238273382
8081,POST,END,1511640744258155364
8082,POST,BEGIN,1511640745014877707
8082,POST,END,1511640745041506661
8083,POST,BEGIN,1511640745796855871
8083,POST,END,1511640745823098914
8084,POST,BEGIN,1511640746578524389
8084,POST,END,1511640746600544220
8085,POST,BEGIN,1511640747356814391
8085,POST,END,1511640747385768576
8086,POST,BEGIN,1511640748141319803
8086,POST,END,1511640748158780056
8087,POST,BEGIN,1511640748914709199
8087,POST,END,1511640748940146485
8088,POST,BEGIN,1511640749695795906
8088,POST,END,1511640749714121133
8089,POST,BEGIN,1511640750467770780
8089,POST,END,1511640750482058217
8090,POST,BEGIN,1511640751237798403
8090,POST,END,1511640751255510440
8091,POST,BEGIN,1511640752012080548
8091,POST,END,1511640752036158949
8092,POST,BEGIN,1511640752790228275
8092,POST,END,1511640752805424662
8093,POST,BEGIN,1511640753560027449
8093,POST,END,1511640753574166014
8094,POST,BEGIN,1511640754327697535
8094,POST,END,1511640754342835489
8095,POST,BEGIN,1511640755098110847
8095,POST,END,1511640755120305285
8096,POST,BEGIN,1511640755877037294
8096,POST,END,1511640755899943535
8097,POST,BEGIN,1511640756654244069
8097,POST,END,1511640756671060782
