ID,TIPO_REQUISICAO,MOMENTO,TIMESTAMP
8002,GET,BEGIN,1511889070753250503
8002,GET,END,1511889070786559273
8003,GET,BEGIN,1511889071548157255
8003,GET,END,1511889071589007448
8004,GET,BEGIN,1511889072349703977
8004,GET,END,1511889072380935577
8005,GET,BEGIN,1511889073295309532
8005,GET,END,1511889073327158544
8006,GET,BEGIN,1511889074090143478
8006,GET,END,1511889074124028882
8007,GET,BEGIN,1511889074884588591
8007,GET,END,1511889074913755534
8008,GET,BEGIN,1511889075674937547
8008,GET,END,1511889075706184949
8009,GET,BEGIN,1511889076468199730
8009,GET,END,1511889076499858897
8010,GET,BEGIN,1511889077261751782
8010,GET,END,1511889077295265880
8011,GET,BEGIN,1511889078057903343
8011,GET,END,1511889078089816071
8012,GET,BEGIN,1511889078850182575
8012,GET,END,1511889078878761705
8013,GET,BEGIN,1511889079636488809
8013,GET,END,1511889079664932425
8014,GET,BEGIN,1511889080426958101
8014,GET,END,1511889080457958164
8015,GET,BEGIN,1511889081220565199
8015,GET,END,1511889081255411476
8016,GET,BEGIN,1511889082018020302
8016,GET,END,1511889082055132346
8017,GET,BEGIN,1511889082817960634
8017,GET,END,1511889082844589579
8018,GET,BEGIN,1511889083602555411
8018,GET,END,1511889083628684158
8019,GET,BEGIN,1511889084390295995
8019,GET,END,1511889084421690317
8020,GET,BEGIN,1511889085183959036
8020,GET,END,1511889085221439338
8021,GET,BEGIN,1511889085982280061
8021,GET,END,1511889086012556845
8022,GET,BEGIN,1511889086774863331
8022,GET,END,1511889086807118326
8023,GET,BEGIN,1511889087569429826
8023,GET,END,1511889087599238411
8024,GET,BEGIN,1511889088361675505
8024,GET,END,1511889088395868477
8025,GET,BEGIN,1511889089158109962
8025,GET,END,1511889089193291112
8026,GET,BEGIN,1511889089954348567
8026,GET,END,1511889089984839825
8027,GET,BEGIN,1511889090745968067
8027,GET,END,1511889090778010565
8028,GET,BEGIN,1511889091539141388
8028,GET,END,1511889091567596377
8029,GET,BEGIN,1511889092329169601
8029,GET,END,1511889092363825912
8030,GET,BEGIN,1511889093126265461
8030,GET,END,1511889093159879687
8031,GET,BEGIN,1511889093922546244
8031,GET,END,1511889093954497984
