ID,TIPO_REQUISICAO,MOMENTO,TIMESTAMP
1002,POST,BEGIN,1511888531236578274
1002,POST,END,1511888531271065050
1003,POST,BEGIN,1511888531614827439
1003,POST,END,1511888531646190247
1004,POST,BEGIN,1511888531988064416
1004,POST,END,1511888532024164509
1005,POST,BEGIN,1511888532368544864
1005,POST,END,1511888532404684253
1006,POST,BEGIN,1511888532751102001
1006,POST,END,1511888532786475924
1007,POST,BEGIN,1511888533128504715
1007,POST,END,1511888533165271823
1008,POST,BEGIN,1511888533510548379
1008,POST,END,1511888533551755339
1009,POST,BEGIN,1511888533899073380
1009,POST,END,1511888533936265081
1010,POST,BEGIN,1511888534276210666
1010,POST,END,1511888534310583260
1011,POST,BEGIN,1511888534654046401
1011,POST,END,1511888534688392822
1012,POST,BEGIN,1511888535030860215
1012,POST,END,1511888535065060566
1013,POST,BEGIN,1511888535408430138
1013,POST,END,1511888535443628477
1014,POST,BEGIN,1511888535787538073
1014,POST,END,1511888535826613485
1015,POST,BEGIN,1511888536171621218
1015,POST,END,1511888536208008223
1016,POST,BEGIN,1511888536552883208
1016,POST,END,1511888536584446742
1017,POST,BEGIN,1511888536927890552
1017,POST,END,1511888536959345975
1018,POST,BEGIN,1511888537302512448
1018,POST,END,1511888537340733994
1019,POST,BEGIN,1511888537681343506
1019,POST,END,1511888537706371178
1020,POST,BEGIN,1511888538049466800
1020,POST,END,1511888538084817071
1021,POST,BEGIN,1511888538428811766
1021,POST,END,1511888538465546038
1022,POST,BEGIN,1511888538808358132
1022,POST,END,1511888538844146339
1023,POST,BEGIN,1511888539189274217
1023,POST,END,1511888539224948707
1024,POST,BEGIN,1511888539569642509
1024,POST,END,1511888539606908451
1025,POST,BEGIN,1511888539952247480
1025,POST,END,1511888539980291442
1026,POST,BEGIN,1511888540324079898
1026,POST,END,1511888540360313939
1027,POST,BEGIN,1511888540705598510
1027,POST,END,1511888540742501608
1028,POST,BEGIN,1511888541086247491
1028,POST,END,1511888541127426514
1029,POST,BEGIN,1511888541471159531
1029,POST,END,1511888541513553587
1030,POST,BEGIN,1511888541859497483
1030,POST,END,1511888541895377452
1031,POST,BEGIN,1511888542240535806
1031,POST,END,1511888542281429695
1032,POST,BEGIN,1511888542627129763
1032,POST,END,1511888542664286167
1033,POST,BEGIN,1511888543008385611
1033,POST,END,1511888543048247120
1034,POST,BEGIN,1511888543393314370
1034,POST,END,1511888543432139581
1035,POST,BEGIN,1511888543777157911
1035,POST,END,1511888543815687374
1036,POST,BEGIN,1511888544159776180
1036,POST,END,1511888544199594183
1037,POST,BEGIN,1511888544545493164
1037,POST,END,1511888544588361016
1038,POST,BEGIN,1511888544932864496
1038,POST,END,1511888544968647702
1039,POST,BEGIN,1511888545312669804
1039,POST,END,1511888545354127780
1040,POST,BEGIN,1511888545698209724
1040,POST,END,1511888545737674553
1041,POST,BEGIN,1511888546082046630
1041,POST,END,1511888546116588566
1042,POST,BEGIN,1511888546461726881
1042,POST,END,1511888546498129984
1043,POST,BEGIN,1511888546844045913
1043,POST,END,1511888546883567210
1044,POST,BEGIN,1511888547225878034
1044,POST,END,1511888547258238073
1045,POST,BEGIN,1511888547603222208
1045,POST,END,1511888547637622614
1046,POST,BEGIN,1511888547980637249
1046,POST,END,1511888548019953936
1047,POST,BEGIN,1511888548363337766
1047,POST,END,1511888548399539070
1048,POST,BEGIN,1511888548745150271
1048,POST,END,1511888548781192113
1049,POST,BEGIN,1511888549126432771
1049,POST,END,1511888549173733557
1050,POST,BEGIN,1511888549516908713
1050,POST,END,1511888549557605156
1051,POST,BEGIN,1511888549902577873
1051,POST,END,1511888549937156255
1052,POST,BEGIN,1511888550282850304
1052,POST,END,1511888550318470861
1053,POST,BEGIN,1511888550662121201
1053,POST,END,1511888550696515200
1054,POST,BEGIN,1511888551040123693
1054,POST,END,1511888551074272371
1055,POST,BEGIN,1511888551419381086
1055,POST,END,1511888551454133038
1056,POST,BEGIN,1511888551797187867
1056,POST,END,1511888551830788966
1057,POST,BEGIN,1511888552175568815
1057,POST,END,1511888552220876691
1058,POST,BEGIN,1511888552564975874
1058,POST,END,1511888552598070264
1059,POST,BEGIN,1511888552943168176
1059,POST,END,1511888552974275300
1060,POST,BEGIN,1511888553318112835
1060,POST,END,1511888553353017120
1061,POST,BEGIN,1511888553698232364
1061,POST,END,1511888553731995722
1062,POST,BEGIN,1511888554076624886
1062,POST,END,1511888554102765238
1063,POST,BEGIN,1511888554446391173
1063,POST,END,1511888554481009257
1064,POST,BEGIN,1511888554826264721
1064,POST,END,1511888554890441360
1065,POST,BEGIN,1511888555232009672
1065,POST,END,1511888555269126550
1066,POST,BEGIN,1511888555612465968
1066,POST,END,1511888555647054342
1067,POST,BEGIN,1511888555990540538
1067,POST,END,1511888556024433682
1068,POST,BEGIN,1511888556370912962
1068,POST,END,1511888556407142313
1069,POST,BEGIN,1511888556751440658
1069,POST,END,1511888556785537001
1070,POST,BEGIN,1511888557129788425
1070,POST,END,1511888557165156891
1071,POST,BEGIN,1511888557511532682
1071,POST,END,1511888557554180755
1072,POST,BEGIN,1511888557898943864
1072,POST,END,1511888557934290809
1073,POST,BEGIN,1511888558277930531
1073,POST,END,1511888558311923739
1074,POST,BEGIN,1511888558656111480
1074,POST,END,1511888558695902166
1075,POST,BEGIN,1511888559039630218
1075,POST,END,1511888559074549724
1076,POST,BEGIN,1511888559419457923
1076,POST,END,1511888559453988685
1077,POST,BEGIN,1511888559798899600
1077,POST,END,1511888559833548177
1078,POST,BEGIN,1511888560176306086
1078,POST,END,1511888560210275811
1079,POST,BEGIN,1511888560553846983
1079,POST,END,1511888560593587119
1080,POST,BEGIN,1511888560938794620
1080,POST,END,1511888560975046435
1081,POST,BEGIN,1511888561318521608
1081,POST,END,1511888561354782378
1082,POST,BEGIN,1511888561699563782
1082,POST,END,1511888561734008228
1083,POST,BEGIN,1511888562078993873
1083,POST,END,1511888562114193763
1084,POST,BEGIN,1511888562456735594
1084,POST,END,1511888562491083839
1085,POST,BEGIN,1511888562835847569
1085,POST,END,1511888562873478541
1086,POST,BEGIN,1511888563219027068
1086,POST,END,1511888563258620122
1087,POST,BEGIN,1511888563600976719
1087,POST,END,1511888563632119925
1088,POST,BEGIN,1511888563975723238
1088,POST,END,1511888564003554024
1089,POST,BEGIN,1511888564347967133
1089,POST,END,1511888564383195573
1090,POST,BEGIN,1511888564728212827
1090,POST,END,1511888564758230281
1091,POST,BEGIN,1511888565100889367
1091,POST,END,1511888565135822351
1092,POST,BEGIN,1511888565480774240
1092,POST,END,1511888565516251114
1093,POST,BEGIN,1511888565862377858
1093,POST,END,1511888565895562660
1094,POST,BEGIN,1511888566239147727
1094,POST,END,1511888566276515894
1095,POST,BEGIN,1511888566622150482
1095,POST,END,1511888566657748254
1096,POST,BEGIN,1511888567003132566
1096,POST,END,1511888567031910937
1097,POST,BEGIN,1511888567373863834
1097,POST,END,1511888567411189453
1098,POST,BEGIN,1511888567755891200
1098,POST,END,1511888567791795282
1099,POST,BEGIN,1511888568137002846
1099,POST,END,1511888568180073970
1100,POST,BEGIN,1511888568524867756
1100,POST,END,1511888568557328052
1101,POST,BEGIN,1511888568899522582
1101,POST,END,1511888568937889621
1102,POST,BEGIN,1511888569282895131
1102,POST,END,1511888569318256749
1103,POST,BEGIN,1511888569661634804
1103,POST,END,1511888569694613141
1104,POST,BEGIN,1511888570039206300
1104,POST,END,1511888570074113078
1105,POST,BEGIN,1511888570418394928
1105,POST,END,1511888570453596673
1106,POST,BEGIN,1511888570797121979
1106,POST,END,1511888570834029688
1107,POST,BEGIN,1511888571179048365
1107,POST,END,1511888571214321593
